"photoUploadID","companyID","projectID","projectSiteID","projectSiteTaskID","pictureType","dateTaken","latitude","longitude","accuracy","uri","companyStaffID","thumbFlag","dateUploaded"
20,24,NULL,NULL,NULL,4,"2014-10-19 18:04:01",-25.7605505,27.8526339,NULL,"monitor_images/company24/companyStaff/f52.jpg",52,NULL,"2014-10-19 18:04:01"
21,24,NULL,NULL,NULL,4,"2014-10-19 18:04:29",-25.7605505,27.8526339,NULL,"monitor_images/company24/companyStaff/t52.jpg",52,1,"2014-10-19 18:04:28"
22,24,NULL,NULL,NULL,4,"2014-10-19 18:04:29",-25.7605505,27.8526339,NULL,"monitor_images/company24/companyStaff/f52.jpg",52,NULL,"2014-10-19 18:04:33"
27,24,NULL,NULL,NULL,4,"2014-10-21 13:11:41",-25.7605445,27.8526354,NULL,"monitor_images/company24/companyStaff/t58.jpg",58,1,"2014-10-21 13:11:41"
30,24,NULL,NULL,NULL,4,"2014-10-20 11:11:41",-25.7520281,28.2632693,NULL,"monitor_images/company24/companyStaff/t57.jpg",57,1,"2014-10-21 13:12:05"
32,24,NULL,NULL,NULL,4,"2014-10-21 13:11:41",-25.7605445,27.8526354,NULL,"monitor_images/company24/companyStaff/f58.jpg",58,NULL,"2014-10-21 13:12:17"
36,24,NULL,NULL,NULL,4,"2014-10-20 11:11:41",-25.7520281,28.2632693,NULL,"monitor_images/company24/companyStaff/f57.jpg",57,NULL,"2014-10-21 13:12:41"
39,24,NULL,NULL,NULL,4,"2014-10-21 14:16:14",-25.7605476,27.8526352,NULL,"monitor_images/company24/companyStaff/t56.jpg",56,1,"2014-10-21 14:16:14"
40,24,NULL,NULL,NULL,4,"2014-10-21 14:16:14",-25.7605476,27.8526352,NULL,"monitor_images/company24/companyStaff/f56.jpg",56,NULL,"2014-10-21 14:16:14"
41,24,NULL,NULL,NULL,4,"2014-10-21 14:32:00",-25.7605505,27.8526325,NULL,"monitor_images/company24/companyStaff/t56.jpg",56,1,"2014-10-21 14:32:01"
42,24,NULL,NULL,NULL,4,"2014-10-21 14:32:00",-25.7605505,27.8526325,NULL,"monitor_images/company24/companyStaff/f56.jpg",56,NULL,"2014-10-21 14:32:03"
43,24,NULL,NULL,NULL,4,"2014-10-21 15:18:15",-25.7605505,27.8526339,NULL,"monitor_images/company24/companyStaff/t56.jpg",56,1,"2014-10-21 15:18:15"
44,24,NULL,NULL,NULL,4,"2014-10-21 15:18:15",-25.7605505,27.8526339,NULL,"monitor_images/company24/companyStaff/f56.jpg",56,NULL,"2014-10-21 15:18:19"
346,24,11,43,NULL,1,"2014-10-29 23:06:16",-25.7605371,27.8526458,NULL,"monitor_images/company24/project11/projectsite43/t1414616774567.jpg",NULL,1,"2014-10-29 23:06:14"
347,24,11,43,NULL,1,"2014-10-29 23:06:16",-25.7605371,27.8526458,NULL,"monitor_images/company24/project11/projectsite43/f1414616774878.jpg",NULL,NULL,"2014-10-29 23:06:14"
348,24,11,43,NULL,1,"2014-10-29 23:06:27",-25.7605371,27.8526458,NULL,"monitor_images/company24/project11/projectsite43/t1414616785180.jpg",NULL,1,"2014-10-29 23:06:25"
349,24,11,43,NULL,1,"2014-10-29 23:06:27",-25.7605371,27.8526458,NULL,"monitor_images/company24/project11/projectsite43/f1414616785333.jpg",NULL,NULL,"2014-10-29 23:06:25"
350,24,11,43,NULL,1,"2014-10-29 23:06:37",-25.7605371,27.8526458,NULL,"monitor_images/company24/project11/projectsite43/t1414616795785.jpg",NULL,1,"2014-10-29 23:06:35"
